,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,460000.0,Partly Finished,1.0,3.0,Detached,Haysboro,Wood Frame,Vinyl,South,"Appliances Negotiable, Dishwasher-Built-In, Garage Control, Garage Opener, Window Coverings-All",Natural Gas,469900.0,"Double Garage Detached, 220 Volt Wiring, Heated, Over Sized, Shop",Detached,Bungalow,2405.0,848.0,4.0,1958,05/30/2014,14.0,T2V 3J3
2,1455000.0,Fully Finished,3.0,4.0,Detached,Lakeview,Wood Frame,"Brick, Stucco",West,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, See Remarks, Stove-Gas, Washer, Water Softener",Natural Gas,1450000.0,Double Garage Attached,Detached,2 Sty Split,9103.0,2934.0,4.0,1966,06/03/2014,14.0,T3E 6E1
3,635000.0,Fully Finished,3.0,5.0,Detached,Auburn Bay,Wood Frame,"Stone, Vinyl",East,"Compactor, Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Built-In, Refrigerator, Stove-Countertop Gas, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,639900.0,Double Garage Attached,Detached,2 Storey,3420.0,2344.0,4.0,2010,05/26/2014,8.0,T3M 0P9
4,377000.0,Fully Finished,1.0,4.0,Detached,Riverbend,Wood Frame,"Vinyl, Wood",West,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,385000.0,No Assigned Parking,Detached,2 Sty Split,2209.0,1450.0,2.0,1992,06/18/2014,34.0,T2C 4C3
5,670000.0,Fully Finished,3.0,6.0,Detached,Rocky Ridge,Wood Frame,Vinyl,Northwest,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,675000.0,Double Garage Attached,Detached,2 Storey,3445.0,2260.0,4.0,2006,05/20/2014,6.0,T3G 5Z9
6,285000.0,"Fully Finished, Suite",2.0,3.0,Semi Detached,Temple,Wood Frame,Stucco,Northwest,"Dryer, Hood Fan, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,289900.0,,Attached,Bi-Level,1496.0,879.0,2.0,1979,06/26/2014,42.0,T1Y 4Z8
7,471300.0,Fully Finished,2.0,4.0,Detached,Canyon Meadows,Wood Frame,"Brick, Stucco, Wood",West,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,484900.0,"Double Garage Detached, Heated, Over Sized, Rear Drive Access",Detached,4 Lvl Split,2386.0,1151.0,2.0,1969,06/09/2014,25.0,T2W 1M5
8,484000.0,Partly Finished,3.0,4.0,Detached,Woodlands,Wood Frame,Wood,South,"Dishwasher-Built-In, Oven-Built-In, Refrigerator, Stove-Gas, Window Coverings-All",Natural Gas,489900.0,"Double Garage Attached, Insulated, Heated",Detached,Bungalow,2750.0,1356.0,2.0,1976,05/26/2014,11.0,T2W 2S1
9,399350.0,"Suite, Fully Finished",2.0,5.0,Detached,Applewood Park,Wood Frame,Vinyl,Northeast,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,389000.0,Double Garage Attached,Detached,Bungalow,2364.0,1162.0,4.0,1998,05/28/2014,14.0,T2A 7W3
10,762500.0,Fully Finished,3.0,4.0,Detached,Tuscany,Wood Frame,"Stone, Vinyl",North,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Control, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerators-Two, Vacuum Systems, Washer, Water Softener",Natural Gas,777000.0,"Double Garage Attached, Insulated",Detached,2 Storey,3973.0,2246.0,6.0,2006,06/03/2014,18.0,T3L 0A6
11,1000000.0,Unfinished,2.0,3.0,Detached,Hillhurst,Wood Frame,Wood Shingle,West,"Air Conditioner-Window, Dishwasher-Built-In, Dryer, Freezer, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,1070000.0,Double Garage Detached,Detached,2 Storey,5095.0,1870.0,2.0,1913,06/16/2014,27.0,T2N 1X1
12,480000.0,Partly Finished,2.0,3.0,Detached,Douglasdale/Glen,Wood Frame,"Stone, Vinyl",North,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Window Coverings-All",Natural Gas,475000.0,Double Garage Attached,Detached,2 Storey,2440.0,1754.0,4.0,1999,05/28/2014,8.0,T2Z 3T2
